   0.0000000e+00   0.0000000e+00   2.7852050e-28   1.7146000e-01
   3.0118000e-04   5.3639000e-02   2.4576032e-04   1.7021000e-01
   1.2045000e-03   2.1443000e-01   3.8915791e-03   1.6700000e-01
   2.7095000e-03   4.8197000e-01   1.9386980e-02   1.6259000e-01
   4.8153000e-03   8.5555000e-01   6.0024418e-02   1.5782000e-01
   7.5205000e-03   1.3339000e+00   1.4302141e-01   1.5321000e-01
   1.0823000e-02   1.9148000e+00   2.8817254e-01   1.4859000e-01
   1.4722000e-02   2.5939000e+00   5.1507750e-01   1.4332000e-01
   1.9215000e-02   3.3632000e+00   8.3776940e-01   1.3678000e-01
   2.4298000e-02   4.2095000e+00   1.2566674e+00   1.2933000e-01
   2.9969000e-02   5.1133000e+00   1.7522065e+00   1.2255000e-01
   3.6224000e-02   6.0493000e+00   2.2848285e+00   1.1817000e-01
   4.3060000e-02   6.9892000e+00   2.8043640e+00   1.1677000e-01
   5.0472000e-02   7.9052000e+00   3.2636710e+00   1.1746000e-01
   5.8456000e-02   8.7741000e+00   3.6301255e+00   1.1864000e-01
   6.7007000e-02   9.5790000e+00   3.8893900e+00   1.1894000e-01
   7.6120000e-02   1.0311000e+01   4.0434500e+00   1.1768000e-01
   8.5790000e-02   1.0967000e+01   4.1045400e+00   1.1479000e-01
   9.6011000e-02   1.1550000e+01   4.0897250e+00   1.1061000e-01
   1.0678000e-01   1.2066000e+01   4.0173300e+00   1.0552000e-01
   1.1808000e-01   1.2520000e+01   3.9045400e+00   9.9796000e-02
   1.2991000e-01   1.2921000e+01   3.7663600e+00   9.3697000e-02
   1.4227000e-01   1.3276000e+01   3.6155150e+00   8.7356000e-02
   1.5515000e-01   1.3590000e+01   3.4613400e+00   8.0926000e-02
   1.6853000e-01   1.3870000e+01   3.3100000e+00   7.4586000e-02
   1.8242000e-01   1.4121000e+01   3.1644450e+00   6.8550000e-02
   1.9679000e-01   1.4349000e+01   3.0264450e+00   6.2873000e-02
   2.1165000e-01   1.4557000e+01   2.8964800e+00   5.7571000e-02
   2.2699000e-01   1.4750000e+01   2.7735000e+00   5.2796000e-02
   2.4279000e-01   1.4931000e+01   2.6573600e+00   4.8437000e-02
   2.5905000e-01   1.5101000e+01   2.5482350e+00   4.4450000e-02
   2.7575000e-01   1.5264000e+01   2.4455650e+00   4.0905000e-02
   2.9289000e-01   1.5419000e+01   2.3487400e+00   3.7691000e-02
   3.1046000e-01   1.5569000e+01   2.2575200e+00   3.4778000e-02
   3.2844000e-01   1.5714000e+01   2.1720200e+00   3.2081000e-02
   3.4683000e-01   1.5855000e+01   2.0922200e+00   2.9542000e-02
   3.6561000e-01   1.5993000e+01   2.0164600e+00   2.7294000e-02
   3.8477000e-01   1.6128000e+01   1.9439550e+00   2.5252000e-02
   4.0430000e-01   1.6260000e+01   1.8745150e+00   2.3332000e-02
   4.2419000e-01   1.6389000e+01   1.8073650e+00   2.1599000e-02
   4.4443000e-01   1.6515000e+01   1.7426850e+00   2.0041000e-02
   4.6500000e-01   1.6637000e+01   1.6806700e+00   1.8677000e-02
   4.8590000e-01   1.6756000e+01   1.6209750e+00   1.7405000e-02
   5.0710000e-01   1.6872000e+01   1.5622750e+00   1.6216000e-02
   5.2860000e-01   1.6985000e+01   1.5031400e+00   1.5138000e-02
